No.,Name,Description,Value,Active,Game_type
1,5) Love Using,Energizes me (5 Skills Only),5,1,1
2,4) Like Using,,4,1,1
3,3) Neutral,Has little or no effect,3,1,1
4,2) Dislike Using,,2,1,1
5,1) Hate Using,Depletes me,1,1,1
6,5) Exceeds my Desired Skill Level,,5,1,2
7,4) Above my Desired Skill Level,,4,1,2
8,3) At my Desired Skill Level,,3,1,2
9,2) Below my Desired Skill Level,,2,1,2
10,1) Lack my Desired Skill Level,,1,1,2
11,5) > 25 hours/week,,5,1,3
12,4) 16 - 25 hours/week,,4,1,3
13,3) 6 - 15 hours/week,,3,1,3
14,2) 0 - 5 hours/week,,2,1,3
15,1) Don't use at all,,1,1,3
