Id,Name,Active
1,Singapore,1
2,Afghanistan,1
3,Aland Islands,1
4,Albania,1
5,Algeria,1
6,American Samoa,1
7,Andorra,1
8,Angola,1
9,Anguilla,1
10,Antigua and Barbuda,1
11,Argentina,1
12,Armenia,1
13,Aruba,1
14,Australia,1
15,Austria,1
16,Azerbaijan,1
17,Bahamas,1
18,Bahrain,1
19,Bangladesh,1
20,Barbados,1
21,Belarus,1
22,Belgium,1
23,Belize,1
24,Benin,1
25,Bermuda,1
26,Bhutan,1
27,Bolivia,1
28,Bosnia and Herzegovina,1
29,Botswana,1
30,Brazil,1
31,British Virgin Islands,1
32,Brunei,1
33,Bulgaria,1
34,Burkina Faso,1
35,Burma,1
36,Burundi,1
37,Cambodia,1
38,Cameroon,1
39,Canada,1
40,Cape Verde,1
41,Caribbean Netherlands,1
42,Cayman Islands,1
43,Central African Republic,1
44,Chad,1
45,Chile,1
46,China,1
47,Christmas Island,1
48,Cocos Islands,1
49,Colombia,1
50,Comoros,1
51,Cook Islands,1
52,Costa Rica,1
53,Croatia,1
54,Cuba,1
55,Curacao,1
56,Cyprus,1
57,Czech Republic,1
58,Democratic Republic of the Congo,1
59,Denmark,1
60,Djibouti,1
61,Dominica,1
62,Dominican Republic,1
63,Ecuador,1
64,Egypt,1
65,El Salvador,1
66,Equatorial Guinea,1
67,Eritrea,1
68,Estonia,1
69,Ethiopia,1
70,Falkland Islands,1
71,Faroe Islands,1
72,Federated States of Micronesia,1
73,Fiji,1
74,Finland,1
75,France,1
76,French Guiana,1
77,French Polynesia,1
78,Gabon,1
79,Gambia,1
80,Georgia,1
81,Germany,1
82,Ghana,1
83,Gibraltar,1
84,Greece,1
85,Greenland,1
86,Grenada,1
87,Guadeloupe,1
88,Guam,1
89,Guatemala,1
90,Guernsey,1
91,Guinea,1
92,Guinea-Bissau,1
93,Guyana,1
94,Haiti,1
95,Honduras,1
96,Hong Kong,1
97,Hungary,1
98,Iceland,1
99,India,1
100,Indonesia,1
101,Iran,1
102,Iraq,1
103,Ireland,1
104,Isle of Man,1
105,Israel,1
106,Italy,1
107,Ivory Coast,1
108,Jamaica,1
109,Japan,1
110,Jersey,1
111,Jordan,1
112,Kazakhstan,1
113,Kenya,1
114,Kiribati,1
115,Kosovo,1
116,Kuwait,1
117,Kyrgyzstan,1
118,Laos,1
119,Latvia,1
120,Lebanon,1
121,Lesotho,1
122,Liberia,1
123,Libya,1
124,Liechtenstein,1
125,Lithuania,1
126,Luxembourg,1
127,Macau,1
128,Macedonia,1
129,Madagascar,1
130,Malawi,1
131,Malaysia,1
132,Maldives,1
133,Mali,1
134,Malta,1
135,Marshall Islands,1
136,Martinique,1
137,Mauritania,1
138,Mauritius,1
139,Mayotte,1
140,Mexico,1
141,Moldov,1
142,Monaco,1
143,Mongolia,1
144,Montenegro,1
145,Montserrat,1
146,Morocco,1
147,Mozambique,1
148,Namibia,1
149,Nauru,1
150,Nepal,1
151,Netherlands,1
152,New Caledonia,1
153,New Zealand,1
154,Nicaragua,1
155,Niger,1
156,Nigeria,1
157,Niue,1
158,Norfolk Island,1
159,North Korea,1
160,Northern Mariana Islands,1
161,Norway,1
162,Oman,1
163,Pakistan,1
164,Palau,1
165,Palestine,1
166,Panama,1
167,Papua New Guinea,1
168,Paraguay,1
169,Peru,1
170,Philippines,1
171,Pitcairn Islands,1
172,Poland,1
173,Portugal,1
174,Puerto Rico,1
175,Qatar,1
176,Republic of the Congo,1
177,Reunion,1
178,Romania,1
179,Russia,1
180,Rwanda,1
181,Saint Barthelemy,1
182,"Saint Helena, Ascension and Tristan da Cunha",1
183,Saint Kitts and Nevis,1
184,Saint Lucia,1
185,Saint Martin,1
186,Saint Pierre and Miquelon,1
187,Saint Vincent and the Grenadines,1
188,Samoa,1
189,San Marino,1
190,Sao Tom and Principe,1
191,Saudi Arabia,1
192,Senegal,1
193,Serbia,1
194,Seychelles,1
195,Sierra Leone,1
196,Sint Maarten,1
197,Slovakia,1
198,Slovenia,1
199,Solomon Islands,1
200,Somalia,1
201,South Africa,1
202,South Korea,1
203,South Sudan,1
204,Spain,1
205,Sri Lanka,1
206,Sudan,1
207,Suriname,1
208,Svalbard and Jan Mayen,1
209,Swaziland,1
210,Sweden,1
211,Switzerland,1
212,Syria,1
213,Taiwan,1
214,Tajikistan,1
215,Tanzania,1
216,Thailand,1
217,Timor-Leste,1
218,Togo,1
219,Tokelau,1
220,Tonga,1
221,Trinidad and Tobago,1
222,Tunisia,1
223,Turkey,1
224,Turkmenistan,1
225,Turks and Caicos Islands,1
226,Tuvalu,1
227,Uganda,1
228,Ukraine,1
229,United Arab Emirates,1
230,United Kingdom,1
231,United States,1
232,United States Virgin Islands,1
233,Uruguay,1
234,Uzbekistan,1
235,Vanuatu,1
236,Vatican City,1
237,Venezuela,1
238,Vietnam,1
239,Wallis and Futuna,1
240,Western Sahara,1
241,Yemen,1
242,Zambia,1
243,Zimbabwe,1
