Id,Name,Active
1,Accounting,1
2,Administration,1
3,Advancement & Alumni,1
4,Advertising,1
5,Alternative Investment,1
6,Analytics,1
7,Architecture,1
8,Argriculture,1
9,Asset Management,1
10,Assurance,1
11,Audit,1
12,Banking - Commercial Banking,1
13,Banking - Consumer Banking,1
14,Banking - Corporate Banking,1
15,Banking - Operations,1
16,Banking - Others,1
17,Banking - Private Banking,1
18,Business Development,1
19,Cabin Crew,1
20,Chartering,1
21,Chief Executive Officer,1
22,Commercial Credit,1
23,Commodities,1
24,Compliance,1
25,Construction,1
26,Consulting,1
27,Contracting & Procurement,1
28,Corporate & Convention Sales,1
29,Corporate Communications,1
30,Corporate Development,1
31,Customer Service,1
32,Design,1
33,Economics,1
34,Education,1
35,Electrical,1
36,Energy,1
37,Engineering,1
38,Entertainment,1
39,Entrepreneur,1
40,Finance - Alternative Investment / Commodities,1
41,Finance - Asset Management,1
42,Finance - Equities / Fixed Income / Derivaties,1
43,Finance - Investment Banking / M & A,1
44,Finance - Operations,1
45,Finance - Others,1
46,Finance - Personal Finance,1
47,Fine Arts,1
48,Food & Beverage,1
49,Full Time Graduate Studies,1
50,Government,1
51,Health / Fitness / Beauty,1
52,Horticulture,1
53,Hospitality & Tourism,1
54,Houswife / Househusband,1
55,Human Resource,1
56,Information Technology,1
57,Insurance,1
58,Legal,1
59,M.I.C.E,1
60,Management Associate Program,1
61,Manufacturing,1
62,Marketing,1
63,Media & Advertising,1
64,Medicine,1
65,Merchandising / Purchasing,1
66,Military,1
67,Mining,1
68,Operations,1
69,Performing Arts,1
70,Photo / Videography,1
71,Physical Sciences,1
72,Planning & Analysis,1
73,Project Management,1
74,Plumbing,1
75,Police,1
76,Property Management,1
77,Psychology / Psychiatry,1
78,Public Relations,1
79,Publishing,1
80,Radio / Television,1
81,Real Estate,1
82,Religion / Clergy,1
83,Restaurant Service,1
84,Retail,1
85,Risk Management,1
86,Sales & Marketing,1
87,Sociology,1
88,Strategy Consulting,1
89,Talent Management,1
90,Tax and Business Advisory,1
91,Treasury,1
92,Others,1
