Id,Name,Active
1,Accounting/ Audit / Tax Services,1
2,Advertising / Marketing / PR,1
3,Aerospace / Aviation,1
4,Agriculture / Paper / Forest Products,1
5,Arts,1
6,Athlethics / Sports,1
7,Automotive,1
8,Banking / Financial Services,1
9,Business Analysis,1
10,Charity / Social Services / Non-Profit Organization,1
11,Chemicals / Petrochemical,1
12,Construction / Architecture / Buildings,1
13,Consulting,1
14,Consumer Goods,1
15,Education,1
16,Energy / Mining,1
17,Engineering,1
18,Environment,1
19,Finance / Insurance / Real Estate,1
20,Food and Beverage,1
21,General Management,1
22,Government / Military / Public Service,1
23,Hospitality / Recreation,1
24,Human Resources,1
25,Information Technology,1
26,Legal Services,1
27,Life Sciences,1
28,Manufacturing,1
29,Media / Publishing / Entertainment,1
30,Medical / Health Services,1
31,Pharmaceuticals,1
32,Public Utilities,1
33,Research,1
34,Retail,1
35,Services,1
36,Shipping / Logistics,1
37,Telecommunications / Networking,1
38,Trading and Distribution,1
39,Travel / Transportation,1
40,Others,1
