1,"Adapt to Change",3) Neutral
2,"Analyze",1) Hate Using
3,"Budget",3) Neutral
4,"Classify",2) Dislike Using
5,"Conceptualize",1) Hate Using
6,"Counsel",3) Neutral
7,"Customer Service",3) Neutral
8,"Databases",3) Neutral
9,"Deal with Ambiguity",4) Like Using
10,"Deal with Feelings",4) Like Using
11,"Design",2) Dislike Using
12,"Entertain/Perform",5) Love Using
13,"Estimate",3) Neutral
14,"Evaluate",2) Dislike Using
15,"Forecasting",2) Dislike Using
16,"Generate Ideas",1) Hate Using
17,"Graphics",3) Neutral
18,"Implement",2) Dislike Using
19,"Improvise",3) Neutral
20,"Initiate Change",3) Neutral
21,"Installation",4) Like Using
22,"Interview for Information",4) Like Using
23,"Liaise",3) Neutral
24,"Maintain Records",4) Like Using
25,"Make Arrangements",4) Like Using
26,"Make Decisions",3) Neutral
27,"Manage",2) Dislike Using
28,"Marketing and communications",3) Neutral
29,"Mediate",4) Like Using
30,"Mentor",3) Neutral
31,"Monitor",3) Neutral
32,"Motivate",3) Neutral
33,"Multi-Task",4) Like Using
34,"Negotiate",5) Love Using
35,"Observe",2) Dislike Using
36,"Perceive Intuitively",2) Dislike Using
37,"Plan, Organize",2) Dislike Using
38,"Programming",1) Hate Using
39,"Proofread, Edit",4) Like Using
40,"Research",2) Dislike Using
41,"Sell",4) Like Using
42,"Strategize",2) Dislike Using
43,"Supervise",3) Neutral
44,"Synthesize",3) Neutral
45,"Teach, Train",3) Neutral
46,"Team Work",2) Dislike Using
47,"Use Mechanical Abilities",4) Like Using
48,"Visualize",1) Hate Using
49,"Work with Numbers",2) Dislike Using
50,"Write",5) Love Using
